City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Saint-Philippe,RE,65.79,light rain,-21.3585,55.7679,Le four à pain
14,Kolosovka,RU,65.03,overcast clouds,56.4678,73.611,Kolosovskaya Gostinitsa
19,Port Alfred,ZA,63.28,scattered clouds,-33.5906,26.891,The Halyards Hotel
34,Cap Malheureux,MU,68.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
41,Santa Maria,BR,61.9,mist,-29.6842,-53.8069,Hotel Morotin
55,Eura,FI,60.58,clear sky,61.1333,22.1333,Ahlströmin Ruukki Kauttua
59,Sibiti,CG,64.27,few clouds,-3.6819,13.3499,Gaby et confort
64,Hovd,MN,62.33,clear sky,48.0056,91.6419,Hotel Khovd
71,Miraflores,MX,68.65,overcast clouds,19.2167,-98.8083,Hotel Mansión
78,Airai,TL,66.96,broken clouds,-8.9266,125.4092,
79,Cidreira,BR,61.41,few clouds,-30.1811,-50.2056,Hotel Castelo
83,Yeppoon,AU,64.18,clear sky,-23.1333,150.7333,Villa Mar Colina
89,Vitim,RU,65.44,scattered clouds,59.4511,112.5578,Gostinitsa V Apteke
90,Carnarvon,AU,65.61,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
95,Sitka,US,62.49,overcast clouds,57.0531,-135.33,Westmark Sitka
98,Kenai,US,65.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
100,Shelburne,CA,68.79,clear sky,44.0787,-80.2041,The Retreat at the Farm
102,Roshchino,RU,62.31,overcast clouds,60.2519,29.6085,Hotel Galliard
107,Louga,RU,60.19,overcast clouds,58.7372,29.8453,U Lysoy Gory Hotel
114,Souillac,MU,66.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
121,Ruteng,ID,69.13,clear sky,-8.6136,120.4721,Hotel FX 72
123,Ahipara,NZ,60.22,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
125,Zapolyarnyy,RU,60.94,overcast clouds,69.4154,30.8136,Pechenga
127,Thompson,CA,60.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
134,Sambava,MG,65.82,broken clouds,-14.2667,50.1667,Melrose
136,Torbay,CA,68.77,overcast clouds,47.6666,-52.7314,Gallows Cove
138,Cascais,PT,68.47,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
139,East London,ZA,64.4,few clouds,-33.0153,27.9116,Tu Casa
140,Aklavik,CA,66.29,overcast clouds,68.2191,-135.0107,Aklavik Inn
141,Jatai,BR,67.78,clear sky,-17.8814,-51.7144,Hotel Califórnia
143,Nikolskoye,RU,66.79,overcast clouds,59.7035,30.7861,Tourist House - Sablino
145,Tuktoyaktuk,CA,62.6,broken clouds,69.4541,-133.0374,End of The Road Ltd.
157,Kabanjahe,ID,64.6,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
164,Salamanca,ES,68.76,clear sky,40.8333,-6.0,Palacio Carrascalino
167,Port Elizabeth,ZA,61.32,clear sky,-33.918,25.5701,39 On Nile Guest House
172,Namibe,AO,61.59,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
175,Saint-Francois,FR,60.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
176,Guaruja,BR,67.03,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
185,Pisco,PE,60.85,mist,-13.7,-76.2167,Hotel San Isidro Oficial
187,Kathmandu,NP,68.22,overcast clouds,27.7167,85.3167,Hotel Shanker Kathmandu
188,Haines Junction,CA,69.75,overcast clouds,60.7522,-137.5108,Parkside Inn
189,Bereznehuvate,UA,63.84,clear sky,47.3078,32.8499,
193,Chumikan,RU,63.86,clear sky,54.7183,135.315,Fortuna
199,Morondava,MG,66.38,clear sky,-20.2833,44.2833,La Case Bambou
203,Arraial Do Cabo,BR,69.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
209,Koulamoutou,GA,69.37,broken clouds,-1.1303,12.4736,Motel Bouenguidi
211,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
218,Gladstone,AU,62.53,clear sky,-23.85,151.25,Highpoint International Hotel
