City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,77.22,76,20,16.06,few clouds
1,Barrow,US,71.2906,-156.7887,35.62,93,100,13.8,moderate rain
2,Punta Arenas,CL,-53.15,-70.9167,30.31,93,0,10.36,clear sky
3,Saint-Philippe,RE,-21.3585,55.7679,65.79,85,56,11.21,light rain
4,Bethel,US,41.3712,-73.414,75.76,66,100,4.0,overcast clouds
5,Yellowknife,CA,62.456,-114.3525,70.32,52,20,8.05,few clouds
6,Adrar,MR,20.5022,-10.0711,97.84,18,5,10.65,clear sky
7,Lavrentiya,RU,65.5833,-171.0,41.45,81,95,14.61,overcast clouds
8,Hilo,US,19.7297,-155.09,91.27,88,100,3.44,light rain
9,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,100,3.0,overcast clouds
10,Kapaa,US,22.0752,-159.319,85.98,71,100,19.57,overcast clouds
11,Manta,EC,-0.95,-80.7333,70.32,86,48,10.18,scattered clouds
12,Coihaique,CL,-45.5752,-72.0662,31.95,93,100,3.44,overcast clouds
13,Kavaratti,IN,10.5669,72.642,81.45,77,100,16.11,overcast clouds
14,Kolosovka,RU,56.4678,73.611,65.03,85,90,4.52,overcast clouds
15,Samarai,PG,-10.6167,150.6667,79.48,84,58,11.32,broken clouds
16,Bull Savanna,JM,17.8868,-77.5902,77.23,81,7,10.58,clear sky
17,Ushuaia,AR,-54.8,-68.3,33.46,69,0,8.05,clear sky
18,Marrakesh,MA,31.6315,-8.0083,87.87,20,0,5.75,clear sky
19,Port Alfred,ZA,-33.5906,26.891,63.28,56,29,16.15,scattered clouds
20,Linkoping,SE,58.4109,15.6216,56.59,87,100,10.36,overcast clouds
21,Avera,US,33.194,-82.5271,87.31,62,98,5.14,overcast clouds
22,Chokurdakh,RU,70.6333,147.9167,58.12,38,5,11.01,clear sky
23,Busselton,AU,-33.65,115.3333,49.91,82,34,7.2,scattered clouds
24,New Norfolk,AU,-42.7826,147.0587,52.72,74,88,5.01,overcast clouds
25,Rosarito,MX,32.3333,-117.0333,81.66,71,18,11.16,few clouds
26,Pierre,US,44.3683,-100.351,82.06,54,40,14.97,scattered clouds
27,Khandbari,NP,27.3747,87.2039,72.12,96,100,2.66,overcast clouds
28,Severo-Kurilsk,RU,50.6789,156.125,55.02,82,100,6.42,overcast clouds
29,Henties Bay,NA,-22.116,14.2845,52.99,87,4,5.68,clear sky
30,Lermontovka,RU,47.1453,134.3383,82.65,60,8,2.01,clear sky
31,Upernavik,GL,72.7868,-56.1549,38.07,88,94,8.59,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,75.04,73,55,8.88,light rain
33,Fairbanks,US,64.8378,-147.7164,55.09,73,75,13.8,light rain
34,Cap Malheureux,MU,-19.9842,57.6142,68.47,78,11,1.01,few clouds
35,Cherskiy,RU,68.75,161.3,52.84,45,14,8.81,few clouds
36,Esperance,AU,-33.8667,121.9,53.44,77,94,3.2,overcast clouds
37,Vaini,TO,-21.2,-175.2,73.92,72,100,12.5,overcast clouds
38,Avarua,CK,-21.2078,-159.775,75.25,60,40,16.11,scattered clouds
39,Houma,US,29.5958,-90.7195,86.0,79,0,1.99,clear sky
40,Hermanus,ZA,-34.4187,19.2345,55.35,85,74,0.76,broken clouds
41,Santa Maria,BR,-29.6842,-53.8069,61.9,100,6,4.61,mist
42,Istok,XK,42.7808,20.4875,71.26,53,79,5.17,broken clouds
43,Touros,BR,-5.1989,-35.4608,74.32,86,1,11.21,clear sky
44,Mataura,NZ,-46.1927,168.8643,44.47,97,100,5.66,overcast clouds
45,Copparo,IT,44.893,11.8249,76.98,76,18,5.61,few clouds
46,Hobart,AU,-42.8794,147.3294,53.06,76,20,8.05,few clouds
47,Hithadhoo,MV,-0.6,73.0833,76.3,92,100,13.33,heavy intensity rain
48,Beringovskiy,RU,63.05,179.3167,46.47,95,100,9.86,moderate rain
49,Kalmunai,LK,7.4167,81.8167,79.39,84,96,7.16,overcast clouds
50,Katsuura,JP,35.1333,140.3,82.72,82,76,15.46,broken clouds
51,Padang,ID,-0.9492,100.3543,73.45,80,100,2.1,overcast clouds
52,Cayenne,GF,4.9333,-52.3333,77.09,1,75,2.3,heavy intensity rain
53,Cabedelo,BR,-6.9811,-34.8339,74.07,85,40,9.82,scattered clouds
54,Limbang,MY,4.75,115.0,77.11,78,100,2.48,overcast clouds
55,Eura,FI,61.1333,22.1333,60.58,97,0,5.82,clear sky
56,Cape Town,ZA,-33.9258,18.4232,54.12,93,20,1.14,few clouds
57,Paamiut,GL,61.994,-49.6678,41.74,94,19,18.32,few clouds
58,Jonkoping,SE,57.7814,14.1562,56.39,93,75,9.22,broken clouds
59,Sibiti,CG,-3.6819,13.3499,64.27,85,15,2.17,few clouds
60,Biltine,TD,14.5333,20.9167,78.96,69,100,18.28,light rain
61,Tasiilaq,GL,65.6145,-37.6368,41.16,94,100,2.8,overcast clouds
62,Oum Hadjer,TD,13.2954,19.6966,76.3,79,100,9.91,light rain
